libpcap 1.9.0-1
libpciaccess 0.14-1
libpeas 1.22.0-3
libpgm 5.2.122-3
libphonenumber 8.10.1-2
libpipeline 1.5.0-1
libplacebo 1.7.0-1
libplist 2.0.0+11+gec9ba8b-2
libpng 1.6.36-1
libpng12 1.2.59-1
libpqxx 6.2.5-1
libproxy 0.4.15-8
libpsl 0.20.2-3
libpst 0.6.72-2
libpulse 12.2-2
libpwquality 1.4.0-1
libqmi 1.22.0-1
libquvi 0.9.4-5
libquvi-scripts 0.9.20131130-4
libqxp 0.0.2-1
libraqm 0.5.0-1
libraw 0.19.2-1
libraw1394 2.1.2-2
libreoffice-fresh 6.1.4-2
librevenge 0.0.4-2
librsvg 2:2.44.11-1
libsamplerate 0.1.9-2
libsasl 2.1.26-16
libseccomp 2.3.3-1
libsecret 0.18.7-1
libshout 1:2.4.1-4
libsidplay 1.36.59-9
libsigc++ 2.10.1-1
libsignon-glib 2.1-1
libsigsegv 2.12-1
libsm 1.2.3-1
libsndfile 1.0.28-2
libsodium 1.0.17-1
libsoup 2.64.2-1
libsoxr 0.1.3-1
libspectre 0.2.8-2
libspiro 1:0.5.20150702-2
libspnav 0.2.3-2
libsrtp 1:2.2.0-1
libssh 0.8.6-1
libssh2 1.8.0-3
libstaroffice 0.0.6-1
libstemmer 0+337-3
libsynctex 2018.48691-4
libsystemd 239.6-4
libtar 1.2.20-4
libtasn1 4.13-1
libteam 1.28-2
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.0.10-1
libtirpc 1.1.4-1
libtommath 1.0.1-1
libtool 2.4.6+42+gb88cebd5-2
libtorrent-rasterbar 1:1.1.11-2
libu2f-host 1.1.6-2
libunistring 0.9.10-1
libunwind 1.2.1-2
libupnp 1.6.25-1
libusb 1.0.22-1
libusbmuxd 1.0.10+29+g9db5747-1
libutempter 1.1.6-3
libutil-linux 2.33.1-2
libuv 1.25.0-1
libva 2.3.0-1
libva-mesa-driver 18.3.2-0
libva-vdpau-driver 0.7.4-3
libvdpau 1.1.1+3+ga21bf7a-1
libvisio 0.1.6-5
libvisual 0.4.0-7
libvoikko 4.2-1
libvorbis 1.3.6-1
libvpx 1.7.0-1
libwacom 0.32-1
libwbclient 4.9.4-2
libwebp 1.0.1-1
libwmf 0.2.10-1
libwpd 0.10.3-1
libwpg 0.3.3-1
libwps 0.4.10-1
libx11 1.6.7-1
libx86emu 1.12-1
libxau 1.0.8-3
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.4-3
libxcursor 1.1.15-1
libxdamage 1.1.4-3
libxdg-basedir 1.2.0-4
libxdmcp 1.1.2-2
libxext 1.3.3-2
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.2-2
libxi 1.7.9-2
libxinerama 1.1.4-1
libxkbcommon 0.8.2-1
libxkbcommon-x11 0.8.2-1
libxkbfile 1.0.9-2
libxklavier 5.4-2
libxml2 2.9.8-8
libxmu 1.1.2-2
libxpm 3.5.12-2
libxrandr 1.5.1-2
libxrender 0.9.10-2
libxshmfence 1.3-1
libxslt 1.1.33-1
libxss 1.2.3-1
libxt 1.1.5-2
libxtst 1.2.3-2
libxv 1.0.11-2
libxvmc 1.0.10-2
libxxf86dga 1.1.4-2
libxxf86vm 1.1.4-2
libyaml 0.2.1-1
libytnef 1.9.3+7+g24fe30e-1
libzen 0.4.37-2
libzip 1.5.1-1
libzmf 0.0.2-5
licenses 20181104-1
lilv 0.24.4-2
linux-api-headers 4.17.11-1
linux-firmware 20181218.0f22c85-1
linux419 4.19.16-1
llvm-libs 7.0.1-1
lm_sensors 3.5.0-1
lmdb 0.9.23-1
log4cplus 2.0.3-1
logrotate 3.15.0-1
lpsolve 5.5.2.5-3
lrzip 0.631-2
lsb-release 1.4-12
lshw B.02.18-3
lua 5.3.5-2
lua52 5.2.4-4
lua52-bitop 1.0.2-8
lua52-expat 1.3.0-4
lua52-lpeg 1.0.1-2
lua52-luajson 1.3.4-1
lua52-socket 20160311-2
luajit 2.0.5-2
lv2 1.14.0-3
lvm2 2.02.183-2
lynx 2.8.9-2
lz4 1:1.8.3-1
lzo 2.10-2
m4 1.4.18-2
mailcap 2.1.48+14+g5811758-1
make 4.2.1-3
man-db 2.8.5-1
man-pages 4.16-2
manjaro-alsa 2012.11-1
manjaro-application-utility 1.1-3
manjaro-artwork 1.0.8-4
manjaro-aur-support 0.6-3
manjaro-base-skel 20171029-3
manjaro-browser-settings 20181222-1
manjaro-documentation-en 20181009-1
manjaro-firmware 20160419-1
manjaro-gdm-branding 20181128-1
manjaro-gdm-check 20180419-1
manjaro-gdm-theme 20181004-1
manjaro-gnome-assets 20181128-1
manjaro-gnome-extension-settings-18.0 20181128-1
manjaro-gnome-settings-18.0 20181128-1
manjaro-gnome-vanilla 0.1-1
manjaro-hello 0.6.1-1
manjaro-hotfixes 2018.08-6
manjaro-icons 20181011-1
manjaro-keyring 20180607-1
manjaro-printer 20170501-1
manjaro-pulse 2012.11-1
manjaro-release 18.0.2-1
manjaro-settings-manager 0.5.5-3
manjaro-settings-manager-notifier 0.5.5-3
manjaro-settings-samba 20180509-2
manjaro-system 20190105-2
manjaro-wallpapers-18.0 1.4-3
mariadb-libs 10.3.12-2
mc 4.8.22-1
mdadm 4.0-2
media-player-info 24-1
mediainfo 18.12-1
memtest86+ 5.01-3
mesa 18.3.2-0
mesa-demos 8.4.0-1
mesa-vdpau 18.3.2-0
meson 0.49.0-2
metis 5.1.0.p5-1
mhwd 0.6.3-1
mhwd-amdgpu 1.2.1-1
mhwd-ati 7.7.0-1
mhwd-catalyst 1:15.201.1151-2
mhwd-db 0.6.3-6
mhwd-nvidia 1:415.27-1
mhwd-nvidia-340xx 340.107-1
mhwd-nvidia-390xx 390.87-1
mhwd-tui 0.4-1
minizip 1:1.2.11-3
mjpegtools 2.1.0-4
mkinitcpio 25-1
mkinitcpio-busybox 1.29.3-1
mkinitcpio-openswap 0.1.0-2
mlt 6.12.0-1
mobile-broadband-provider-info 20190116-1
modemmanager 1.10.0-1
mousetweaks 3.12.0-3
mozilla-common 1.4-5
mpfr 4.0.1-1
mpg123 1.25.10-1
mtdev 1.1.5-2
mutagen 1.42.0-1
mutter 3.30.2-2
mypaint-brushes 1.3.0-3
nano 3.2-1
nasm 2.14-1
nautilus 3.30.5-1
nautilus-admin 1.1.5-1
nautilus-empty-file 1.2-1
nautilus-sendto 3.8.6+14+ge8a3604-1
nautilus-share 0.7.3-8
ncurses 6.1-6
ndctl 63-1
neon 0.30.2-3
net-snmp 5.8-1
netctl 1.19-1
nettle 3.4.1-1
networkmanager 1.14.5dev+17+gba83251bb-2
networkmanager-openconnect 1.2.4-4
networkmanager-openvpn 1.8.8-2
networkmanager-pptp 1.2.8-2
networkmanager-vpnc 1.2.6-2
nfs-utils 2.3.3-1
nfsidmap 2.3.3-1
nginx-mainline 1.15.8-1
ninja 1.8.2-1
nm-connection-editor 1.8.19dev+21+geebf7f95-1
nmap 7.70-2
node-gyp 3.8.0-1
nodejs-lts-carbon 8.15.0-2
